r, time
2, 10.715033
3, 5.997477
4, 4.330686
5, 3.658175
6, 3.208593
7, 3.183457
8, 2.753269
9, 2.713192
10, 2.682141
11, 2.504381
12, 2.440391
13, 2.605942
14, 2.329965
15, 2.342977
16, 2.148314
17, 2.091500
18, 2.111115
19, 2.174954
20, 2.263870
21, 2.164845
22, 2.108661
23, 2.096159
24, 2.110931
25, 2.030388
26, 2.100642
27, 1.996490
28, 2.009526
29, 2.097130
30, 2.099833
31, 2.130028
32, 1.802305
33, 1.760212
34, 1.776518
35, 1.656235
36, 1.743386
37, 1.701300
38, 1.738829
39, 1.832945
40, 1.768165
41, 1.730468
42, 1.722196
43, 1.740287
44, 1.872966
45, 1.732343
46, 1.769657
47, 1.816587
48, 1.773352
49, 1.736107
50, 1.842052
51, 1.768597
52, 1.749522
53, 1.836465
54, 1.847003
55, 1.793489
56, 1.794404
57, 1.840001
58, 1.813595
59, 1.740818
60, 1.824024
61, 1.787037
62, 1.731670
63, 1.705752
64, 1.743274
65, 1.824469
66, 1.778258
67, 1.781512
68, 1.854030
69, 1.894501
70, 1.820159
71, 1.785865
72, 1.787637
73, 1.869798
74, 1.882941
75, 1.830817
76, 1.848699
77, 1.858784
78, 1.998620
79, 1.978369
80, 1.851803
81, 1.898723
82, 1.855224
83, 2.015371
84, 1.917464
85, 1.975947
86, 2.006483
87, 2.007717
88, 1.890154
89, 1.998475
90, 2.062403
91, 1.962207
92, 1.919731
93, 1.981610
94, 2.036000
95, 1.992453
96, 1.904108
97, 1.992311
98, 2.178003
99, 2.210929
100, 2.151244
101, 1.902071
102, 1.854738
103, 1.858713
104, 1.845998
105, 1.840858
106, 1.934583
107, 1.863507
108, 1.792047
109, 1.910122
110, 1.886518
111, 1.859771
112, 1.804322
113, 1.836255
114, 1.923777
115, 1.881720
116, 2.080667
117, 1.899349
118, 1.945820
119, 1.886417
120, 1.971101
121, 1.815034
122, 1.861460
123, 1.875090
124, 1.880791
125, 2.076473
126, 1.937102
127, 1.872239
128, 2.077115
129, 2.016064
130, 1.965086
131, 1.980431
132, 1.920508
133, 1.911981
134, 1.930709
135, 1.968715
136, 1.905448
137, 1.977198
138, 1.901431
139, 1.989089
140, 1.996723
141, 2.062381
142, 2.053280
143, 2.092771
144, 2.131084
145, 1.990220
146, 2.029528
147, 2.097524
148, 2.018510
149, 1.965475
150, 2.091415
151, 2.066436
152, 2.043838
153, 2.025169
154, 2.109839
155, 2.188173
156, 2.092417
157, 2.049329
158, 2.104700
159, 2.188199
160, 2.163935
161, 2.083307
162, 2.018590
163, 2.107439
164, 2.060519
165, 2.106027
166, 2.121240
167, 2.161592
168, 2.098630
169, 2.156811
170, 2.091453
171, 2.159631
172, 2.165729
173, 2.168479
174, 2.222888
175, 2.415429
176, 2.228068
177, 2.280664
178, 2.263530
179, 2.151270
180, 2.283861
181, 2.237224
182, 2.251113
183, 2.214720
184, 2.122715
185, 2.123922
186, 2.195330
187, 2.354451
188, 2.301089
189, 2.252585
190, 2.305148
191, 2.221751
192, 2.252142
193, 2.293414
194, 2.350801
195, 2.151598
196, 2.305402
197, 2.313223
198, 2.423453
199, 2.179924
200, 2.325623
201, 2.286146
202, 2.184380
203, 2.269135
204, 2.232079
205, 2.334003
206, 2.253120
207, 2.271555
208, 2.169616
209, 2.200932
210, 2.199476
211, 2.279121
212, 2.230243
213, 2.184211
214, 2.386321
215, 2.337268
216, 2.458545
217, 2.323478
218, 2.286763
219, 2.326791
220, 2.344190
221, 2.359047
222, 2.416169
223, 2.389337
224, 2.241996
225, 2.138189
226, 2.114769
227, 2.245872
228, 2.247650
229, 2.140677
230, 2.212554
231, 2.265837
232, 2.251638
233, 2.080863
234, 2.013255
235, 2.056371
236, 2.111704
237, 2.329060
238, 2.284148
239, 2.348697
240, 2.366399
241, 2.341109
242, 2.380128
243, 2.268449
244, 2.280865
245, 2.415734
246, 2.357673
247, 2.341820
248, 2.306284
249, 2.317768
250, 2.188135
251, 2.345795
252, 2.349722
253, 2.261239
254, 2.329581
255, 2.317359
256, 2.374997
